epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.8783,1.65602,13.0871,1.47223,0.71053,0.40299,0.57124,0.26711,1.37463,32.3199,1.17661,0.00036,0.00036,0.00036
2,27.6928,1.45444,2.61772,1.2567,0.81753,0.46817,0.54467,0.28502,1.66139,2.94441,1.43189,0.000730843,0.000730843,0.000730843
3,40.0613,1.51382,1.69805,1.3663,0.02759,0.32836,0.01554,0.00532,2.20726,11.1527,2.16281,0.00109228,0.00109228,0.00109228
4,53.7637,1.60897,1.50816,1.42944,0.01752,0.38806,0.01053,0.00512,2.13179,47.0414,2.33462,0.00144431,0.00144431,0.00144431
5,67.8678,1.627,1.3823,1.39706,0.00128,0.28358,0.00042,9e-05,3.60168,inf,7.42675,0.00178694,0.00178694,0.00178694
6,82.2258,1.67175,1.40058,1.47687,0.00043,0.04478,5e-05,1e-05,4.37778,234.86,12.9209,0.00187625,0.00187625,0.00187625
7,96.8412,1.60018,1.28375,1.37261,0.00142,0.28358,0.00043,0.00015,2.83778,inf,7.06058,0.0018515,0.0018515,0.0018515
8,110.603,1.57343,1.13909,1.42029,0.06583,0.59701,0.05965,0.02187,2.18049,5.48678,1.99083,0.00182675,0.00182675,0.00182675
9,123.613,1.48258,1.12167,1.3832,0.43352,0.5483,0.4931,0.22797,1.78404,2.02955,1.64281,0.001802,0.001802,0.001802
10,135.763,1.53986,1.11727,1.39672,0.52612,0.46401,0.39689,0.17686,1.84319,2.42545,1.61661,0.00177725,0.00177725,0.00177725
11,147.25,1.57818,1.1256,1.41107,0.3113,0.59701,0.26708,0.10385,1.97365,3.27725,2.00049,0.0017525,0.0017525,0.0017525
12,159.271,1.51876,1.09717,1.3782,0.80017,0.70149,0.80426,0.43109,1.54511,1.62547,1.39933,0.00172775,0.00172775,0.00172775
13,172.08,1.46475,1.02982,1.34552,0.8459,0.68657,0.77397,0.41983,1.62968,1.87043,1.4635,0.001703,0.001703,0.001703
14,184.846,1.50898,1.05742,1.3568,0.68982,0.8209,0.81285,0.42285,1.53307,1.12809,1.39358,0.00167825,0.00167825,0.00167825
15,197.675,1.42057,0.99418,1.2969,0.89663,0.55224,0.62414,0.28401,1.79379,1.99966,1.49517,0.0016535,0.0016535,0.0016535
16,210.641,1.45223,0.95905,1.33932,0.83065,0.73207,0.79468,0.40049,1.62272,1.5542,1.44403,0.00162875,0.00162875,0.00162875
17,224.612,1.47609,1.03942,1.35913,0.8887,0.71642,0.80301,0.44571,1.4554,1.25212,1.32917,0.001604,0.001604,0.001604
18,240.188,1.42643,0.94202,1.30142,0.756,0.83582,0.8099,0.42074,1.551,1.01097,1.3871,0.00157925,0.00157925,0.00157925
19,256.495,1.44925,0.96351,1.32751,0.87835,0.86216,0.89932,0.44407,1.60086,1.57861,1.4291,0.0015545,0.0015545,0.0015545
20,272.227,1.36851,0.92776,1.29057,0.85941,0.76119,0.83815,0.42263,1.62462,1.04655,1.39818,0.00152975,0.00152975,0.00152975
21,287.612,1.37014,0.92313,1.29948,0.79259,0.80597,0.82662,0.42255,1.48631,1.33574,1.39216,0.001505,0.001505,0.001505
22,303.725,1.40044,0.88674,1.29752,0.82141,0.82379,0.87087,0.4443,1.43965,0.96026,1.35311,0.00148025,0.00148025,0.00148025
23,319.786,1.32691,0.85464,1.26878,0.94063,0.74627,0.8578,0.45461,1.54384,0.96016,1.4111,0.0014555,0.0014555,0.0014555
24,336.412,1.31811,0.86577,1.26673,0.81107,0.83582,0.84574,0.46424,1.58702,1.04651,1.36965,0.00143075,0.00143075,0.00143075
25,351.77,1.37552,0.84916,1.26755,0.93322,0.76119,0.8857,0.47726,1.4511,0.96622,1.30045,0.001406,0.001406,0.001406
26,366.332,1.36147,0.89023,1.28282,0.91171,0.77612,0.86608,0.49772,1.43343,0.9356,1.33928,0.00138125,0.00138125,0.00138125
